record_time_tag_int,items_2_3_packed,observable_int,observable_frac,items_6_14_packed,items_15_19_packed,items_20_22_packed
1812103625,b'',-382333,-103357314,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103635,b'',-382323,-102549552,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103645,b'',-382313,-215943335,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103655,b'',-382303,-294034003,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103665,b'',-382293,-417259215,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103675,b'',-382283,-560593604,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103685,b'',-382273,-704645156,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103695,b'',-382263,-871949195,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103705,b'',-382254,-159438132,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103715,b'',-382244,-331527709,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103725,b'',-382234,-448107718,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103735,b'',-382224,-778350829,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103745,b'',-382215,-87857245,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103755,b'',-382205,-335301398,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103765,b'',-382195,-617673873,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103775,b'',-382185,-934546470,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103785,b'',-382176,-237255095,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103795,b'',-382166,-549088477,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103805,b'',-382156,-928850173,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103815,b'',-382147,-286413192,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103825,b'',-382137,-748778342,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103835,b'',-382128,-181961059,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103845,b'',-382118,-516850470,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103855,b'',-382109,-12869834,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103865,b'',-382099,-428811072,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103875,b'',-382089,-902318000,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103885,b'',-382080,-430922507,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103895,b'',-382070,-849608420,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103905,b'',-382061,-365608214,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103915,b'',-382051,-839594840,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103925,b'',-382042,-360776900,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103935,b'',-382032,-893689155,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103945,b'',-382023,-467024802,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103955,b'',-382013,-964327811,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103965,b'',-382004,-576217650,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103975,b'',-381995,-167135238,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103985,b'',-381985,-774121283,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812103995,b'',-381976,-395054816,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104005,b'',-381967,-6035804,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104015,b'',-381957,-642182349,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104025,b'',-381948,-287463187,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104035,b'',-381938,-902650832,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104045,b'',-381929,-612130164,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104055,b'',-381920,-280564307,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104065,b'',-381911,-53046226,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104075,b'',-381901,-796477317,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
1812104085,b'',-381892,-540550231,b'O\xc0\x05\xc4',b'\x02vB\x17w\x80\x8d\xe8',b'\x00\x00\x00\x00\xfa'
